objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll040,05/03/2019 - EALA.jpg,,,05/03/2019 At the BA Tindahan,,2019-05-03,Photograph of myself and a friend with one of the ates at the 3rd floor CBA Tindahan,universities;UP;UP Diliman; CBA; student life,UP Diliman; Quezon City,14.65539559,121.0738332,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll041,11/22/2016-1 - EALA.JPG,,,11/22/2016 Me & My friends at the Walking for Fitness PE Final Exam,,2016-11-22,Photograph of myself and my friends who did the walking for fitness PE final exam. We were tasked to walk a very long distance out of campus into Marikina then end at Katipunan. This was taken during our rest,universities;UP;UP Diliman;PE; Walking for Fitness,"Concepcion Uno, Marikina City",14.65678072,121.0944047,,,Image;StillImage,image/JPG,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll042,11/22/2016-2 - EALA.JPG,,,11/22/2016 The rest of the class at the Walking for Fitness PE Final Exam,,2016-11-22,Photograph of the rest of the class who did the walking for fitness PE final exam. We were tasked to walk a very long distance out of campus into Marikina then end at Katipunan. This was taken during one of the breaks. ,universities;UP; universities;UP;UP Diliman;PE; Walking for Fitness,"Concepcion Uno, Marikina City",14.65678072,121.0944047,,,Image;StillImage,image/JPG,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll043,08/29/2019 - EALA.jpg,,,08/29/2019 Taking down notes/the whiteboard during Kas 2 Class,,2019-08,"Photograph of the whiteboard during Kas 2 Class in AS. For this class, the prof would write down his whole lecture at the start and we were encouraged to write it down. I usually took a picture so i could write it down in my notes during the lecture. ",universities;UP;UP Diliman;Palma Hall; AS; Kas 2,"UP Diliman, Quezon City",14.65389377,121.0698762,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll044,,,,,,,,,,,,,,,,,,
coll045,,,,,,,,,,,,,,,,,,
coll046,,,,,,,,,,,,,,,,,,
coll047,,,,,,,,,,,,,,,,,,
coll048,,,,,,,,,,,,,,,,,,
coll049,,,,,,,,,,,,,,,,,,
coll050,,,,,,,,,,,,,,,,,,
coll051,,,,,,,,,,,,,,,,,,
coll052,,,,,,,,,,,,,,,,,,
coll053,,,,,,,,,,,,,,,,,,
coll054,,,,,,,,,,,,,,,,,,
coll055,,,,,,,,,,,,,,,,,,
